0,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
Subdistrict,Seikolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Pupils,,,Murid/Pupils,,,Sekolah/Schools,,,Sekolah/Schools,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Pupils,,,Murid/Pupils,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Sekolah/Schools,,,Sekolah/Schools,,,1,,,1,,,Murid/Students,,,Murid/Students,,,Primary School,,,Junior High School,,,Senior High School,,,Vocational School,,,University,,
,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,/Schools,/Teachers,/Pupils,/Schools,/Teachers,/Pupils,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,iPrivate,Total,Public,iPrivate,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,iPrivate,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,Public,Private,Total,2018,2019.0,2020.0,2014,2019.0,2020.0,2014,2019.0,2020.0,2014,2019.0,2020.0,2014,2019,2020
Larangan,-,21,21,-,21,21,-,91,91,-,85,85,-,1523,1523,-,1479,1479,...,...,...,6,18,451,53,1,54,53,1,54,461,2,463,477,3,480,9316,68,9384,9238,67,9305,1,24,25,1,24,25,28,228,256,29,214,243,502,5413,5915,500,5395,5895,5,1,6,5,2,7,147,16,163,156,23,179,2929,260,3189,2840,268,3108,-,10,10,-,10,10,-,184,184,-,199,199,-,3074,3074,-,2924,2924,1,-,1,1,-,1,63,-,63,66,-,66,1241,-,1241,1266,-,1266,-,7,7,-,7,7,-,231,231,-,232,232,-,3834,3834,-,4035,4035,-,2,2,-,2,2,-,18,18,-,16,16,-,242,242,-,230,230,11,11.0,11.0,9,9.0,9.0,2,2.0,2.0,4,4.0,4.0,–,–,–
Ketanggungan,1,33,34,1,32,33,5,137,142,5,124,129,52,1978,2030,30,1811,1841,...,...,...,14,42,663,54,1,55,53,1,54,463,10,473,481,9,490,9729,236,9965,9825,235,10060,1,18,19,1,18,19,18,166,184,14,149,163,376,3113,3489,374,3090,3464,5,5,10,5,5,10,143,57,200,150,55,205,2702,645,3347,2612,720,3332,1,7,8,1,6,7,94,83,177,106,92,198,1088,1697,2785,1210,1468,2678,1,1,2,1,2,3,41,14,55,47,16,63,974,156,1130,934,293,1227,-,7,7,-,7,7,-,94,94,-,107,107,-,1229,1229,-,1194,1194,-,2,2,-,2,2,-,35,35,-,33,33,-,316,316,-,309,309,21,21.0,21.0,11,12.0,12.0,4,5.0,5.0,5,5.0,5.0,–,–,1
Banjarharjo,-,12,12,-,14,14,-,37,37,-,38,38,-,631,631,-,611,611,...,...,...,17,55,1221,68,-,68,67,-,67,515,-,515,536,-,536,10853,-,10853,10708,-,10708,1,3,4,1,3,4,18,17,35,18,22,40,456,356,812,451,352,803,5,5,10,5,5,10,134,41,175,138,43,181,2629,609,3238,2653,659,3312,-,4,4,-,5,5,-,90,90,-,85,85,-,1260,1260,-,1217,1217,1,2,3,1,2,3,35,5,40,47,10,57,1009,92,1101,998,57,1055,-,2,2,-,2,2,-,17,17,-,20,20,-,296,296,-,315,315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25.0,25.0,9,9.0,9.0,3,3.0,3.0,2,2.0,2.0,–,–,–
Losari,-,25,25,-,25,25,-,80,80,-,84,84,-,1213,1213,-,1265,1265,...,...,...,12,43,534,55,2,57,55,2,57,513,21,534,531,22,553,9654,449,10103,9660,470,10130,1,17,18,1,17,18,18,184,202,17,161,178,306,3702,4008,306,3689,3995,4,3,7,4,3,7,153,30,183,159,31,190,3148,626,3774,3117,729,3846,1,5,6,1,4,5,2,91,93,2,74,76,326,1619,1945,204,880,1084,1,-,1,1,-,1,42,-,42,47,-,47,649,-,649,679,-,679,-,4,4,-,4,4,-,113,113,-,114,114,-,2508,2508,-,2700,2700,-,1,1,-,1,1,-,20,20,-,13,13,-,81,81,-,31,31,22,22.0,22.0,9,9.0,9.0,1,1.0,1.0,5,4.0,4.0,–,–,–
Tanjutng,-,24,24,-,24,24,-,79,79,-,79,79,-,1266,1266,-,1183,1183,...,...,...,1,3,105,47,-,47,47,-,47,397,-,397,411,-,411,9338,-,9338,9582,-,9582,-,4,4,-,4,4,-,41,41,-,40,40,-,787,787,-,781,781,5,1,6,5,1,6,170,9,179,179,9,188,3210,73,3283,3170,84,3254,-,3,3,-,3,3,-,44,44,-,45,45,-,920,920,-,887,887,1,-,1,1,-,1,65,-,65,68,-,68,1220,-,1220,1232,-,1232,-,1,1,-,1,1,-,18,18,-,19,19,-,253,253,-,238,238,-,2,2,-,2,2,-,37,37,-,37,37,-,253,253,-,242,242,18,18.0,18.0,8,8.0,8.0,3,3.0,3.0,1,1.0,1.0,–,–,–
Kersana,-,18,18,-,17,17,-,48,48,-,48,48,-,788,788,-,758,758,...,...,...,2,9,192,35,1,36,35,1,36,287,10,297,300,12,312,5508,190,5698,5525,212,5737,-,4,4,-,4,4,-,38,38,-,35,35,-,808,808,-,806,806,3,1,4,3,1,4,106,13,119,115,14,129,2284,108,2392,2323,118,2441,-,2,2,-,2,2,-,41,41,-,40,40,-,698,698,-,693,693,1,-,1,1,-,1,39,-,39,48,-,48,945,-,945,951,-,951,1,2,3,1,2,3,92,105,197,104,107,211,1548,2990,4538,1546,3142,4688,-,2,2,-,2,2,-,26,26,-,15,15,-,161,161,-,147,147,13,13.0,13.0,5,5.0,5.0,2,2.0,2.0,3,3.0,3.0,–,–,–
Bulakamba,-,26,26,-,26,26,-,70,70,-,68,68,-,1242,1242,-,1129,1129,...,...,...,22,87,1445,57,2,59,57,2,59,567,10,577,597,10,607,13141,229,13370,12995,272,13267,-,18,18,-,18,18,-,179,179,-,171,171,-,3985,3985,-,3964,3964,3,9,12,3,9,12,133,90,223,138,94,232,2499,1255,3754,2514,1263,3777,-,11,11,-,11,11,-,181,181,-,224,224,-,3587,3587,-,3480,3480,1,1,2,1,1,2,50,16,66,54,17,71,1253,244,1497,1167,243,1410,1,5,6,1,5,6,80,114,194,95,112,207,1509,2186,3695,1545,2198,3743,-,1,1,-,1,1,-,19,19,-,18,18,-,328,328,-,323,323,19,19.0,19.0,14,15.0,15.0,2,2.0,2.0,5,5.0,5.0,–,–,–
Wanasari,-,33,33,-,34,34,-,118,118,-,122,122,-,1903,1903,-,1916,1916,...,...,...,7,27,458,56,-,56,56,-,56,560,-,560,592,-,592,10965,-,10965,10946,-,10946,1,19,20,1,19,20,22,204,226,22,183,205,458,3850,4308,457,3846,4303,4,3,7,4,3,7,154,37,191,165,40,205,2859,613,3472,2948,654,3602,-,7,7,-,7,7,-,116,116,-,127,127,-,1583,1583,-,1467,1467,1,-,1,1,-,1,25,-,25,37,-,37,635,-,635,628,-,628,-,3,3,-,3,3,-,77,77,-,80,80,-,1030,1030,-,867,867,-,1,1,-,2,2,-,19,19,-,21,21,-,69,69,-,87,87,20,20.0,20.0,8,11.0,11.0,2,2.0,2.0,3,3.0,3.0,1,1,1
Songgom,-,13,13,-,13,13,-,43,43,-,45,45,-,670,670,-,648,648,...,...,...,3,9,184,35,2,37,34,2,37,275,13,288,282,13,299,5921,187,6108,6074,210,6289,-,10,10,-,10,10,-,71,71,-,77,77,-,1495,1495,-,1491,1491,3,3,6,3,3,6,109,33,142,113,33,146,2028,829,2857,2080,877,2957,-,6,6,-,6,6,-,81,81,-,79,79,-,1349,1349,-,1314,1314,-,1,1,-,1,1,-,3,3,-,4,4,-,67,67,-,50,50,2,4,6,2,4,6,44,70,114,52,73,125,985,732,1717,1031,781,1812,-,2,2,-,2,2,-,22,22,-,20,20,-,205,205,-,197,197,10,10.0,10.0,8,8.0,8.0,2,2.0,2.0,5,5.0,5.0,–,–,–
Jatibarang,-,23,23,-,23,23,-,72,72,-,73,73,-,1166,1166,-,1172,1172,...,...,...,2,8,132,44,1,45,44,1,45,339,10,349,354,12,366,6562,194,6756,6574,213,6787,-,5,5,-,5,5,-,86,86,-,43,43,-,1372,1372,-,1367,1367,3,1,4,3,1,4,144,8,152,153,9,162,2521,90,2611,2456,78,2534,-,2,2,-,2,2,-,70,70,-,64,64,-,990,990,-,988,988,1,-,1,1,-,1,32,-,32,46,-,46,780,-,780,825,-,825,-,5,5,-,5,5,-,80,80,-,89,89,-,775,775,-,676,676,-,1,1,-,1,1,-,19,19,-,12,12,-,131,131,-,132,132,22,22.0,22.0,4,4.0,4.0,2,2.0,2.0,4,4.0,4.0,1,1,1
Brebes,1,55,56,1,55,56,9,205,214,8,211,219,131,2480,2611,110,2354,2464,...,...,...,13,64,919,80,10,90,80,10,90,783,96,879,803,108,911,14751,1705,16456,14580,1924,16504,1,10,11,1,10,11,16,118,134,14,109,123,372,1937,2309,370,1928,2298,8,6,14,8,5,13,300,69,369,312,69,381,5164,960,6124,5091,1045,6136,1,2,3,1,2,3,108,56,164,106,55,161,1368,911,2279,1351,892,2243,3,-,3,3,-,3,170,-,170,200,-,200,3411,-,3411,3441,-,3441,1,10,11,1,10,11,61,218,279,67,219,286,1386,2943,4329,1392,2976,4368,1,1,2,1,1,2,70,-,70,50,15,65,1081,60,1141,1006,59,1065,23,23.0,23.0,8,10.0,10.0,3,4.0,4.0,7,7.0,7.0,2,2,2
Kabupaten Brebes,3,452,455,3,452,455,21,1532,1553,20,1536,1556,236,21614,21850,192,21007,21199,...,...,...,179,647,9322,871,28,899,867,27,895,7548,236,7784,7889,258,8151,143513,4636,148149,143210,5102,148317,7,211,218,7,211,218,132,2026,2158,125,1858,1983,2701,37971,40672,2688,37697,40385,77,76,153,77,75,152,2279,893,3172,2412,936,3348,42152,14148,56300,41884,14407,56291,5,100,105,5,97,102,276,1569,1845,284,1657,1941,3805,26256,30058,3780,23551,27331,17,14,31,17,15,32,755,186,941,878,195,1073,15808,3046,18854,15960,2841,18801,6,88,94,6,88,94,353,1987,2340,403,2036,2439,6929,33291,40220,7074,33461,40535,2,28,30,2,29,31,137,518,655,110,450,560,2175,5307,7482,2056,4399,6455,297,297.0,297.0,155,163.0,163.0,43,45.0,45.0,75,73.0,73.0,6,7,8
