0,1,2,3
Subdistrict,Murid/Students,,
,Public,Private,Total
1,8,9,10
Salem,-,981,981
Bantarkawung,-,1972,1972
Bumiayu,-,4706,4706
Paguyangan,-,2535,2535
Sirampog,-,2739,2739
Tonjong,1560,1406,2966
Larangan,-,4035,4035
Ketanggungan,-,1194,1194
Banjarharjo,-,315,315
Losari,-,2700,2700
Tanjung,-,238,238
Kersana,1546,3142,4688
Bulakamba,1545,2198,3743
Wanasari,-,867,867
Songgom,1031,781,1812
Jatibarang,-,676,676
Brebes,1392,2976,4368
Kabupaten Brebes,7074,33461,40535
