0,1,2,3
Subdistrict,University,,
,2014,2019,2020
1,14,15,16
Salem,–,–,–
Bantarkawung,–  ,–,–
Bumiayu,–,–,–
Paguyangan,1,2,2
Sirampog,1,1,1
Tonjong,–,–,–
Larangan,–,–,–
Ketanggungan,–,–,1
Banjarharjo,–,–,–
Losari,–,–,–
Tanjung,–,–,–
Kersana,–,–,–
Bulakamba,–,–,–
Wanasari,1,1,1
Songgom,–,–,–
Jatibarang,1,1,1
Brebes,2,2,2
Kabupaten Brebes,6,7,8
