0,1,2,3
Subdistrict,Murid/Pupils,,
,Public,Private,Total
1,8,9,10
Salem,-,1025,1025
Bantarkawung,-,837,837
Bumiayu,53,1517,1570
Paguyangan,-,1119,1119
Sirampog,-,1257,1257
Tonjong,-,999,999
Larangan,-,1523,1523
Ketanggungan,52,1978,2030
Banjarharjo,-,631,631
Losari,-,1213,1213
Tanjung,-,1266,1266
Kersana,-,788,788
Bulakamba,-,1242,1242
Wanasari,-,1903,1903
Songgom,-,670,670
Jatibarang,-,1166,1166
Brebes,131,2480,2611
Kabupaten Brebes,236,21614,21850
