0,1,2,3
Subdistrict,Murid/Pupils,,
,Public,Private,Total
1,8,9,10
Salem,-,581,581
Bantarkawung,231,1167,1398
Bumiayu,-,2803,2803
Paguyangan,.,2039,2039
Sirampog,-,2416,2416
Tonjong,-,2147,2147
Larangan,502,5413,5915
Ketanggungan,376,3113,3489
Banjarharjo,456,356,812
Losari,306,3702,4008
Tanjung,-,787,787
Kersana,-,808,808
Bulakamba,-,3985,3985
Wanasari,458,3850,4308
Songgom,-,1495,1495
Jatibarang,-,1372,1372
Brebes,372,1937,2309
Kabupaten Brebes,2701,37971,40672
