0,1,2,3
Subdistrict,Murid/Students,,
,Public,Private,Total
1,8,9,10
Salem,1554,520,2074
Bantarkawung,1467,1069,2536
Bumiayu,2381,2412,4793
Paguyangan,1890,2252,4142
Sirampog,964,1225,2189
Tonjong,1824,434,2258
Larangan,2840,268,3108
Ketanggungan,2612,720,3332
Banjarharjo,2653,659,3312
Losari,3117,729,3846
Tanjung,3170,84,3254
Kersana,2323,118,2441
Bulakamtba,2514,1263,3777
Wanasari,2948,654,3602
Songgom,2080,877,2957
Jatibarang,2456,78,2534
Brebes,5091,1045,6136
Kabupaten Brebes,41884,14407,56291
