0,1,2,3
Subdistrict,Murid/Pupils,,
,Public,Private,Total
1,8,9,10
Salem,-,993,993
Bantarkawung,-,810,810
Bumiayu,52,1483,1535
Paguyangan,-,1169,1169
Sirampog,-,1217,1217
Tonjong,-,1009,1009
Larangan,-,1479,1479
Ketanggungan,30,1811,1841
Banjarharjo,-,611,611
Losari,-,1265,1265
Tanjung,-,1183,1183
Kersanat,-,758,758
Bulakamba,-,1129,1129
Wanasari,-,1916,1916
Songgom,-,648,648
Jatibarang,-,1172,1172
Brebes,110,2354,2464
Kabupaten Brebes,192,21007,21199
