0,1,2,3
Subdistrict,Sekolah/Schools,,
,/Schools,/Teachers,/Pupils
1,2,3,4
Salem,26,114,853
Bantarkawung,19,65,729
Bumiayu,14,35,436
Paguyangan,10,26,256
Sirampog,4,13,167
Tonjong,7,29,577
Larangan,6,18,451
Ketanggungan,14,42,663
Banjarharjo,17,55,1221
Losari,12,43,534
Tanjung,1,3,105
Kersanat,2,9,192
Bulakamba,22,87,1445
Wanasari,7,27,458
Songgom,3,9,184
Jatibarang,2,8,132
Brebes,13,64,919
Kabupaten Brebes,179,647,9322
