0,1,2,3
Subdistrict,Murid/Students,,
,Public,Private,Total
1,8,9,10
Salem,769,-,769
Bantarkawung,748,-,748
Bumiayu,1059,1618,2677
Paguyangan,634,222,856
Sirampog,481,426,907
Tonjong,k,221,221
Larangan,1241,-,1241
Ketanggungan,974,156,1130
Banjarharjo,1009,92,1101
Losari,649,-,649
Tanjung,1220,-,1220
Kersana,945,-,945
Bulakamtba,1253,244,1497
Wanasari,635,-,635
Songgom,-,67,67
Jatibarang,780,-,780
Brebes,3411,-,3411
Kabupaten Brebes,15808,3046,18854
