0,1,2,3
Subdistrict,Murid/Students,,
,Public,iPrivate,Total
1,8,9,10
Salem,-,741,741
Bantarkawung,1015,428,1443
Bumiayu,-,1721,1721
Paguyangan,-,945,945
Sirampog,-,2484,2484
Tonjong,-,1022,1022
Larangan,-,2924,2924
Ketanggungan,1210,1468,2678
Banjarharjo,-,1217,1217
Losari,204,880,1084
Tanjung,-,887,887
Kersana,-,693,693
Bulakamba,-,3480,3480
Wanasari,-,1467,1467
Songgom,-,1314,1314
Jatibarang,-,988,988
Brebes,1351,892,2243
Kabupaten Brebes,3780,23551,27331
