0,1,2,3
Subdistrict,Sekolah/Schools,,
,Public,Private,Total
1,2,3,4
Salem,-,3,3
Bantarkawung,-,5,5
Bumiayu,-,10,10
Paguyangan,-,8,8
Sirampog,a,8,8
Tonjong,1,4,5
Larangan,-,7,7
Ketanggungan,-,7,7
Banjarharjo,-,2,2
Losari,-,4,4
Tanjung,-,1,1
Kersana,1,2,3
Bulaktamba,1,5,6
Wanasari,-,3,3
Songgom,2,4,6
Jatibarang,-,5,5
Brebes,1,10,11
Kabupaten Brebes,6,88,94
