0,1,2,3
Subdistrict,Murid/Students,,
,Public,Private,Total
1,8,9,10
Salem,806,-,806
Bantarkawung,752,-,752
Bumiayu,1070,1432,2502
Paguyangan,673,222,895
Sirampog,538,358,896
Tonjong,k,186,186
Larangan,1266,-,1266
Ketanggungan,934,293,1227
Banjarharjo,998,57,1055
Losari,679,-,679
Tanjung,1232,-,1232
Kersana,951,-,951
Bulakatmba,1167,243,1410
Wanasari,628,-,628
Songgom,-,50,50
Jatibarang,825,-,825
Brebes,3441,-,3441
Kabupaten Brebes,15960,2841,18801
