0,1,2,3
Subdistrict,Murid/Students,,
,Public,Private,Total
1,8,9,10
Salem,-,147,147
Bantarkawung,-,179,179
Bumiayu,1050,647,1697
Paguyangan,-,64,64
Sirampog,-,1605,1605
Tonjong,-,-,-
Larangan,-,230,230
Ketanggungan,-,309,309
Banjarharjo,-,-,-
Losari,-,31,31
Tanjung,-,242,242
Kersana,-,147,147
Bulakamba,-,323,323
Wanatsari,-,87,87
Songgom,-,197,197
Jatibarang,-,132,132
Brebes,1006,59,1065
Kabupaten Brebes,2056,4399,6455
